Line Item Date,Item ID,Order ID,Item Name,Currency,Per Unit Quantity,Item Unit,Item Revenue,Modifiers,Modifiers Revenue,Total Revenue,Discounts,Total Discount,Total,VAT Collected,Payment State
27-Aug-2017 11:03 PM BST,HN1QRF5D8RK5G,1FJ5KZ86BQST6,Alovera,GBP,,,2.10,,,2.10,,,2.10,0.35,Open
27-Aug-2017 11:03 PM BST,19DJP9SY32CJW,1FJ5KZ86BQST6,Coke,GBP,,,1.50,,,1.50,,,1.50,0.25,Open
27-Aug-2017 11:03 PM BST,19DJP9SY32CJW,1FJ5KZ86BQST6,Coke,GBP,,,1.50,,,1.50,,,1.50,0.25,Open
27-Aug-2017 11:03 PM BST,DZKDHR8RFEYV2,1FJ5KZ86BQST6,Diet Coke,GBP,,,1.50,,,1.50,,,1.50,0.25,Open
27-Aug-2017 11:03 PM BST,HN1QRF5D8RK5G,1FJ5KZ86BQST6,Alovera,GBP,,,2.10,,,2.10,,,2.10,0.35,Open
27-Aug-2017 11:03 PM BST,MSMEZG2VW57KP,1FJ5KZ86BQST6,Ginger&Onion Seafood,GBP,,,9.50,,,9.50,,,9.50,1.58,Open
27-Aug-2017 11:03 PM BST,E077SNNMFSPTC,1FJ5KZ86BQST6,Black Pepper Duck,GBP,,,9.50,,,9.50,,,9.50,1.58,Open
27-Aug-2017 11:03 PM BST,BQT2JQDXK8760,1FJ5KZ86BQST6,S&P Squids,GBP,,,6.80,,,6.80,,,6.80,1.13,Open
27-Aug-2017 11:03 PM BST,R9JNQJDPWSMDJ,1FJ5KZ86BQST6,Egg Fried Rice With Prawn,GBP,,,9.00,,,9.00,,,9.00,1.50,Open
27-Aug-2017 11:03 PM BST,M4FZGA6432JSC,1FJ5KZ86BQST6,Tofu Lemongrass Bun,GBP,,,8.50,,,8.50,,,8.50,1.42,Open
27-Aug-2017 11:03 PM BST,F6WC2A2T2DKZ2,1FJ5KZ86BQST6,Honey Roast Pork,GBP,,,9.00,,,9.00,,,9.00,1.50,Open
27-Aug-2017 11:03 PM BST,MJ48AZA6Z6EGP,1FJ5KZ86BQST6,Black Pepper Beef,GBP,,,9.00,,,9.00,,,9.00,1.50,Open
27-Aug-2017 11:03 PM BST,CK3K0TYWWZTJM,1FJ5KZ86BQST6,Aubergine Prawn,GBP,,,9.50,,,9.50,,,9.50,1.58,Open
27-Aug-2017 11:03 PM BST,7P5X49BV5649C,1FJ5KZ86BQST6,Grill Pork Rice,GBP,,,8.50,,,8.50,,,8.50,1.42,Open
27-Aug-2017 11:03 PM BST,7P5X49BV5649C,1FJ5KZ86BQST6,Grill Pork Rice,GBP,,,8.50,,,8.50,,,8.50,1.42,Open
27-Aug-2017 11:03 PM BST,6WNQZSJPK4XZC,1FJ5KZ86BQST6,Pho Tofu,GBP,,,7.95,,,7.95,,,7.95,1.33,Open
27-Aug-2017 11:03 PM BST,4QJE2M90NG092,1FJ5KZ86BQST6,Meat Spring Rolls,GBP,,,5.45,,,5.45,,,5.45,0.91,Open
27-Aug-2017 11:03 PM BST,MJ48AZA6Z6EGP,1FJ5KZ86BQST6,Black Pepper Beef,GBP,,,9.00,,,9.00,,,9.00,1.50,Open
27-Aug-2017 11:03 PM BST,0Y2P8WT0YJDAE,1FJ5KZ86BQST6,Chicken Satay,GBP,,,6.80,,,6.80,,,6.80,1.13,Open
27-Aug-2017 11:03 PM BST,WQZDHB0G68YCE,1FJ5KZ86BQST6,Crispy Duck 1/2,GBP,,,16.00,,,16.00,,,16.00,2.67,Open
27-Aug-2017 11:03 PM BST,KPKVQ02YQZMNP,1FJ5KZ86BQST6,S&P Tofu,GBP,,,6.80,,,6.80,,,6.80,1.13,Open
27-Aug-2017 11:03 PM BST,M4FZGA6432JSC,1FJ5KZ86BQST6,Tofu Lemongrass Bun,GBP,,,8.50,,,8.50,,,8.50,1.42,Open
27-Aug-2017 11:03 PM BST,TZ39MHW869W6W,1FJ5KZ86BQST6,Tofu Summer Rolls,GBP,,,4.45,,,4.45,,,4.45,0.74,Open
27-Aug-2017 11:03 PM BST,CHCG34FFJTQYJ,1FJ5KZ86BQST6,Chicken Curry,GBP,,,8.50,,,8.50,,,8.50,1.42,Open
27-Aug-2017 11:03 PM BST,8ADN120CPS3JC,1FJ5KZ86BQST6,Pho Special,GBP,,,9.00,,,9.00,,,9.00,1.50,Open
27-Aug-2017 11:03 PM BST,FCTR6CRHQTRKC,1FJ5KZ86BQST6,Grill Pork Bun,GBP,,,8.00,,,8.00,,,8.00,1.33,Open
27-Aug-2017 11:03 PM BST,FCTR6CRHQTRKC,1FJ5KZ86BQST6,Grill Pork Bun,GBP,,,8.00,,,8.00,,,8.00,1.33,Open
27-Aug-2017 11:03 PM BST,XYN9DFWVM0Y8P,1FJ5KZ86BQST6,Hanoi Fish,GBP,,,10.50,,,10.50,,,10.50,1.75,Open
27-Aug-2017 07:51 PM BST,9WDQV583KWKC6,CF3GGPR3QJ46W,Orange Juice,GBP,,,3.00,,,3.00,,,3.00,0.50,Paid
27-Aug-2017 07:51 PM BST,9WDQV583KWKC6,CF3GGPR3QJ46W,Orange Juice,GBP,,,3.00,,,3.00,,,3.00,0.50,Paid
27-Aug-2017 07:51 PM BST,JB7B6D90DFK1R,CF3GGPR3QJ46W,Coconut Coffee,GBP,,,5.00,,,5.00,,,5.00,0.00,Paid
27-Aug-2017 07:51 PM BST,60K3XEMBYRX7R,CF3GGPR3QJ46W,Saigon Beer,GBP,,,3.45,,,3.45,,,3.45,0.58,Paid
27-Aug-2017 07:51 PM BST,60K3XEMBYRX7R,CF3GGPR3QJ46W,Saigon Beer,GBP,,,3.45,,,3.45,,,3.45,0.58,Paid
27-Aug-2017 09:31 PM BST,4QJE2M90NG092,FKTFA4NQBHZNJ,Meat Spring Rolls,GBP,,,5.45,,,5.45,,,5.45,0.91,Open
